"ADMX","Parent Category","Name","Display Name","Class","Explain Text","Supported On","Key","Value Name"
"access16.admx","Cryptography","L_SpecifyCNGRandomNumberGeneratorAlgorithm","Specify CNG random number generator algorithm","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\crypto","rngalgorithm"
"access16.admx","Cryptography","L_SpecifyCNGSaltLength","Specify CNG salt length","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\crypto","saltbytes"
"access16.admx","Trust Center","L_SetMaximumNumberOfTrustedDocuments","Set maximum number of trusted documents","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted documents","maxtrusteddocuments"
"access16.admx","Trust Center","L_SetMaximumNumberOfTrustRecordsToPreserve","Set maximum number of trust records to preserve","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted documents","maxpreservetrusteddocuments"
"access16.admx","Trust Center","L_VBAWarningsPolicy","VBA Macro Notification Settings","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security","vbawarnings ; vbadigsigtrustedpublishers ; vbarequirelmtrustedpublisher ; vbarequiredigsigwithcodesigningeku"
"access16.admx","Trust Center","L_BlockMacroExecutionFromInternet","Block macros from running in Office files from the Internet","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security","blockcontentexecutionfrominternet"
"access16.admx","Trust Center","L_TurnOffTrustedDocumentsOnTheNetwork","Turn off Trusted Documents on the network","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted documents","disablenetworktrusteddocuments"
"access16.admx","Trust Center","L_Disableallapplicationextensions","Disable all application add-ins","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security","disablealladdins"
"access16.admx","Trust Center","L_RequirethatApplicationExtensionsaresigned","Require that application add-ins are signed by Trusted Publisher","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security","requireaddinsig"
"access16.admx","Trust Center","L_DisableTrustBarNotificationforunsigned","Disable Trust Bar Notification for unsigned application add-ins and block them","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security","notbpromptunsignedaddin"
"access16.admx","Trust Center","L_TurnOffTrustedDocuments","Turn off trusted documents","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted documents","disabletrusteddocuments"
"access16.admx","Trusted Locations","L_AllowTrustedLocationsOnTheNetwork","Allow Trusted Locations on the network","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations","allownetworklocations"
"access16.admx","Trusted Locations","L_DisableTrustedLoc","Disable all trusted locations","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations","alllocationsdisabled"
"access16.admx","Trusted Locations","L_TrustedLoc01","Trusted Location #1","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location1","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc02","Trusted Location #2","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location2","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc03","Trusted Location #3","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location3","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc04","Trusted Location #4","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location4","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc05","Trusted Location #5","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location5","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc06","Trusted Location #6","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location6","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc07","Trusted Location #7","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location7","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc08","Trusted Location #8","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location8","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc09","Trusted Location #9","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location9","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc10","Trusted Location #10","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location10","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc11","Trusted Location #11","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location11","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc12","Trusted Location #12","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location12","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc13","Trusted Location #13","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location13","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc14","Trusted Location #14","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location14","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc15","Trusted Location #15","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location15","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc16","Trusted Location #16","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location16","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc17","Trusted Location #17","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location17","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc18","Trusted Location #18","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location18","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc19","Trusted Location #19","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location19","path ; date ; description ; allowsubfolders"
"access16.admx","Trusted Locations","L_TrustedLoc20","Trusted Location #20","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security\trusted locations\location20","path ; date ; description ; allowsubfolders"
"access16.admx","Tools | Security","L_ModalTrustDecisionOnly","Modal Trust Decision Only","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\security","modaltrustdecisiononly"
"access16.admx","Workgroup Administrator...","L_PathtosharedWorkgroupinformationfileforsecuredMDBfiles","Path to shared Workgroup information file for secured MDB files","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\access connectivity engine\engines","systemdb"
"access16.admx","Customizable Error Messages","L_Listoferrormessagestocustomize","List of error messages to customize","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\customizablealerts",""
"access16.admx","Predefined","L_Disablecommandbarbuttonsandmenuitems","Disable commands","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\disabledcmdbaritemscheckboxes","sendtomailrecipient ; toolssecuritysetpwd ; toolssecurityperms ; toolssecurityaccts ; toolssecuritysecwiz ; toolssecurityencrypt ; toolsmacrovbe ; accrunmacro ; toolsmacroconvertmacros ; toolsmacrocreateshortcutmenu ; addinsmenuicon"
"access16.admx","Predefined","L_Disableshortcutkeys","Disable shortcut keys","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\disabledshortcutkeyscheckboxes","find ; inserthyperlink ; toolsmacrovbe"
"access16.admx","Custom","L_disablecommandbarbuttonsandmenuitems85","Disable commands","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\disabledcmdbaritemslist",""
"access16.admx","Custom","L_disableshortcutkeys86","Disable shortcut keys","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\disabledshortcutkeyslist",""
"access16.admx","Miscellaneous","L_DefaultFileFormat","Default file format","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\settings","default file format"
"access16.admx","Miscellaneous","L_Donotprompttoconvertolderdatabases","Do not prompt to convert older databases","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\settings","noconvertdialog"
"access16.admx","Miscellaneous","L_2007CompatibleCachePolicy","Use Access 2007 compatible cache","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\settings","use2007compatiblecache"
"access16.admx","Miscellaneous","L_ClearCacheOnClosePolicy","Clear cache on close","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\settings","clearcacheonclose"
"access16.admx","Miscellaneous","L_NeverCachePolicy","Never cache data","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\settings","nevercache"
"access16.admx","Miscellaneous","L_BlockAllUnmanagedAddins","Block all unmanaged add-ins","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\resiliency","restricttolist"
"access16.admx","Miscellaneous","L_ListOfManagedAddins","List of managed add-ins","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\resiliency\addinlist",""
"access16.admx","Miscellaneous","L_PersonalTemplatesPath","Personal templates path for Access","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\settings","personaltemplatesaccess"
"access16.admx","Miscellaneous","L_DefaultCustomTab","Show custom templates tab by default in Access on the Office Start screen and in File | New","User","","At least Windows Server 2008 R2 or Windows 7","software\policies\microsoft\office\16.0\access\settings","officestartdefaulttab"
"ActiveXInstallService.admx","ActiveX Installer Service","ApprovedActiveXInstallSites","Approved Installation Sites for ActiveX Controls","Machine","","At least Windows Vista","SOFTWARE\Policies\Microsoft\Windows\AxInstaller","ApprovedList"
"ActiveXInstallService.admx","ActiveX Installer Service","AxISURLZonePolicies","Establish ActiveX installation policy for sites in Trusted zones","Machine","","At least Windows Vista","SOFTWARE\Policies\Microsoft\Windows\AxInstaller\AxISURLZonePolicies","InstallTrustedOCX ; InstallSignedOCX ; InstallUnSignedOCX ; IgnoreUnknownCA ; IgnoreInvalidCN ; IgnoreInvalidCertDate ; IgnoreWrongCertUsage"
"AddRemovePrograms.admx","Add or Remove Programs","DefaultCategory","Specify default category for Add New Programs","User","","Windows Server 2003, Windows XP, and Windows 2000 only","Software\Microsoft\Windows\CurrentVersion\Policies\Uninstall","DefaultCategory"
